Source.Name,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
redfin_2021-12-30-21-40-26.csv,PAST SALE,1/29/2021,Single Family Residential,1705 Courtland Rd,Alexandria,VA,22306,832500,4,2.5,FOURTH HOLLINDALE,2100,10811,1963,335,396,,Sold,,,https://www.redfin.com/VA/Alexandria/1705-Courtland-Rd-22306/home/9817975,BRIGHT MLS,VAFX1173092,N,Y,38.7465678,-77.0612359
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/23/2021,Single Family Residential,8306 Bound Brook Ln,Alexandria,VA,22309,750000,5,3,RIVERSIDE ESTATES,2074,16118,1962,129,362,,Sold,,,https://www.redfin.com/VA/Alexandria/8306-Bound-Brook-Ln-22309/home/9815818,BRIGHT MLS,VAFX2006796,N,Y,38.7317909,-77.0837645
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/30/2021,Single Family Residential,8230 Central Ave,Alexandria,VA,22309,670000,5,3.5,VERNON HEIGHTS,3400,4100,2006,153,197,50,Sold,,,https://www.redfin.com/VA/Alexandria/8230-Central-Ave-22309/home/12069348,BRIGHT MLS,VAFX1200292,N,Y,38.733596,-77.097048
redfin_2021-12-30-21-40-26.csv,PAST SALE,12/17/2021,Single Family Residential,2508 N Chambliss St,Alexandria,VA,22311,999000,5,3.5,HOFFMAN PROPERTY,3608,22215,1982,13,277,,Sold,,,https://www.redfin.com/VA/Alexandria/2508-N-Chambliss-St-22311/home/9652813,BRIGHT MLS,VAFX2000821,N,Y,38.8358064,-77.1285121
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/27/2021,Single Family Residential,7504 Milway Dr,Alexandria,VA,22306,699000,5,3.5,MILWAY MEADOWS,3002,11776,1970,156,233,,Sold,,,https://www.redfin.com/VA/Alexandria/7504-Milway-Dr-22306/home/9795685,BRIGHT MLS,VAFX2002908,N,Y,38.7543886,-77.0769974
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/25/2021,Single Family Residential,6555 Spring Valley Dr,Alexandria,VA,22312,830000,4,3,SPRING VALLEY ASSN ADDN,2888,20505,1978,280,287,,Sold,,,https://www.redfin.com/VA/Alexandria/6555-Spring-Valley-Dr-22312/home/9722339,BRIGHT MLS,VAFX1181568,N,Y,38.8137353,-77.1697031
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/28/2021,Single Family Residential,8048 Winstead Manor Ln,Lorton,VA,22079,1175000,4,4.5,WINSTEAD MANOR,5785,9905,2005,155,203,88,Sold,,,https://www.redfin.com/VA/Lorton/8048-Winstead-Manor-Ln-22079/home/9844179,BRIGHT MLS,VAFX2002308,N,Y,38.7381108,-77.1718148
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/11/2021,Single Family Residential,5846 Doris Dr,Alexandria,VA,22311,735000,4,2,DOWDEN TERRACE,2172,17137,1955,141,338,,Sold,,,https://www.redfin.com/VA/Alexandria/5846-Doris-Dr-22311/home/9653419,BRIGHT MLS,VAFX2005990,N,Y,38.8340312,-77.1318204
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/11/2021,Single Family Residential,8409 Leaf Rd,Alexandria,VA,22309,535000,4,2,GILLINGHAM,1700,23500,1957,294,315,,Sold,,,https://www.redfin.com/VA/Alexandria/8409-Leaf-Rd-22309/home/9813925,BRIGHT MLS,VAFX1172370,N,Y,38.7289554,-77.1223992
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/16/2021,Single Family Residential,9418 Mount Vernon Cir,Alexandria,VA,22309,939900,5,3.5,MOUNT VERNON ON THE POTO,3317,19514,1977,136,283,125,Sold,,,https://www.redfin.com/VA/Alexandria/9418-Mt-Vernon-Cir-22309/home/9827283,BRIGHT MLS,VAFX2002758,N,Y,38.7042723,-77.1168303
